icao,lat,lon,type,size,name,city,state,country
0E8,35.7177,-108.202,civil,1774,Crownpoint,Crownpoint,New Mexico,United States
0E9,40.7545,-93.2413,civil,997,Corydon,Corydon,Iowa,United States
0F2,33.6017,-97.7756,civil,1100,Bowie Mun,Bowie,Texas,United States
0F3,43.3875,-95.1392,civil,920,Spirit Lake Mun,Spirit Lake,Iowa,United States
0F4,41.2903,-98.9906,civil,1615,Loup City Mun,Loup City,Nebraska,United States
0F7,35.389,-95.6016,civil,914,Fountainhead Lodge,Eufaula,Oklahoma,United States
0F8,36.1753,-96.1518,civil,1770,Pogue Mun,Sand Springs,Oklahoma,United States
0F9,34.1959,-96.6756,civil,945,Tishomingo,Tishomingo,Oklahoma,United States
0FA1,27.3039,-81.8804,civil,549,Frierson Grove,Arcadia,Florida,United States
0FD0,29.2675,-81.2301,civil,1219,Big 'g',Ormond Beach,Florida,United States
0FD6,27.9075,-80.4864,water,914,Fulton,Sebastian,Florida,United States
0FD9,30.6521,-86.1094,civil,602,Joy Farms,Defuniak Springs,Florida,United States
0FL0,26.7306,-81.1639,civil,701,Harper's Fly-In Ranch,Clewiston,Florida,United States
0FL1,29.9833,-82.8356,civil,785,Thompson Airfield,Branford,Florida,United States
0FL2,28.7877,-81.1676,water,610,Alligator Drink,Geneva,Florida,United States
0FL5,28.4594,-81.3497,water,610,Lake Conway South,Belle Isle,Florida,United States
0FL8,30.1939,-81.6819,water,610,Gary Gale,Jacksonville,Florida,United States
0FL9,26.3939,-81.0231,civil,1875,McDaniel Ranch Inc.,Clewiston,Florida,United States
0G0,43.1032,-78.7033,civil,881,North Buffalo Suburban,Lockport,New York,United States
0G3,40.3994,-96.1714,civil,1067,Tecumseh Mun,Tecumseh,Nebraska,United States
0G5,47.8163,-90.3976,water,999,Grand Marais/Cook County,Grand Marais,Minnesota,United States
0G6,41.4674,-84.5066,civil,1522,Williams Co,Bryan,Ohio,United States
0G7,42.8836,-76.7811,civil,1718,Finger Lakes Regl,Seneca Falls,New York,United States
0GA0,33.3562,-84.3671,civil,655,Halls Flying Ranch,Hampton,Georgia,United States
0GA1,34.4754,-82.9025,civil,610,Mustang Field,Hartwell,Georgia,United States
0GA2,34.3773,-82.9396,civil,792,"Airnautique, Inc.",Hartwell,Georgia,United States
0GA3,33.7701,-85.0608,civil,610,Ayresouth,Temple,Georgia,United States
0GA4,33.8129,-83.5057,civil,610,Paradise Falls,High Shoals,Georgia,United States
0GA6,33.7334,-83.8188,civil,640,Sunset Strip,Jersey,Georgia,United States
0GA7,33.6834,-84.9999,civil,914,Hickory Level Airfield,Temple,Georgia,United States
0GA8,30.8871,-83.416,civil,914,Paso Fino Farm,Valdosta,Georgia,United States
0GA9,32.7139,-84.0275,civil,1128,Roberta Industrial Park,Roberta,Georgia,United States
0GE0,33.7821,-84.8008,civil,610,Pinewood,Douglasville,Georgia,United States
0GE1,31.6655,-83.4471,civil,914,Crystal Lake Airpark,Irwinville,Georgia,United States
0GE2,31.1405,-85.0466,civil,1711,Georgia-Pacific,Cedar Springs,Georgia,United States
0GE3,34.9047,-85.4597,civil,610,Lookout Mountain,Trenton,Georgia,United States
0GE4,33.3314,-84.2667,civil,319,Pecan Patch Airstrip,Sunnyside,Georgia,United States
0GE5,34.5618,-83.7135,civil,762,Mountain Airpark,Cleveland,Georgia,United States
0H1,39.0045,-99.8929,civil,1219,Trego Wakeeney,Wakeeney,Kansas,United States
0H7,40.425,-91.7127,civil,808,Kahoka Mun,Kahoka,Missouri,United States
0I2,39.4767,-87.0997,civil,895,Brazil Clay Co,Brazil,Indiana,United States
0I8,38.3667,-84.2841,civil,1174,Cynthiana-Harrison Co,Cynthiana,Kentucky,United States
0IA3,42.4347,-92.328,civil,701,Hawkeye,Waterloo,Iowa,United States
0IA4,41.0334,-91.0501,civil,914,Sharar Field,Mediapolis,Iowa,United States
0IA5,40.8722,-93.2627,civil,610,Moore Private,Millerton,Iowa,United States
0IA6,41.6597,-92.2899,civil,792,Rinehart,Victor,Iowa,United States
0IA8,42.228,-91.751,civil,390,Hannen,Center Point,Iowa,United States
0II0,40.26,-85.2533,civil,457,Chuck's,Albany,Indiana,United States
0II1,40.4281,-86.1533,civil,396,Unsicker,Bremen,Indiana,United States
0II2,41.4573,-86.1244,civil,396,Creighton,Bremen,Indiana,United States
0II3,40.6278,-86.0378,civil,732,Miller Strip,Bunker Hill,Indiana,United States
0II5,40.6595,-86.8572,civil,732,Marshall Field,Chalmers,Indiana,United States
0II6,41.6431,-85.8297,civil,914,Kropf,Goshen,Indiana,United States
0II7,39.7956,-85.7861,civil,762,Frost Field,Greenfield,Indiana,United States
0II8,41.3248,-87.4759,civil,427,Sutton's Field,Lowell,Indiana,United States
0II9,39.5342,-86.5772,civil,488,Winters,Hall,Indiana,United States
0IL2,40.8473,-88.0478,civil,725,Wilken,Danforth,Illinois,United States
0IL3,40.157,-87.6745,civil,549,Flying B Ranch,Danville,Illinois,United States
0IL8,41.8725,-88.7237,civil,488,Walter,De Kalb,Illinois,United States
0IL9,41.8548,-88.7873,civil,853,Jack W. Watson,De Kalb,Illinois,United States
0IN1,38.5,-87.5959,civil,610,Snider Field,Decker,Indiana,United States
0IN2,40.8278,-85.0861,civil,1676,The Lazy K,Tocsin,Indiana,United States
0IN3,41.1167,-86.6667,civil,671,Graves Landing Strip,Winamac,Indiana,United States
0IN4,41.1278,-84.9472,civil,744,Air Park Field,Woodburn,Indiana,United States
0IN5,38.329,-86.0336,civil,366,Byrne Field,Byrneville,Indiana,United States
0IN9,37.9931,-87.9514,civil,732,Parrish,Mount Vernon,Indiana,United States
0IS3,41.6608,-89.6936,civil,762,Cady Aerial Rla,Deer Grove,Illinois,United States
0IS4,39.7625,-88.6715,civil,736,Dawson Farms,Lovington,Illinois,United States
0IS5,38.9345,-89.6251,civil,488,Mueller,New Douglas,Illinois,United States
0J0,31.6002,-85.2388,civil,888,Abbeville Mun,Abbeville,Alabama,United States
0J4,31.0425,-86.3116,civil,975,Florala Mun,Florala,Alabama,United States
0J6,31.3649,-85.3097,civil,2148,Headland Mun,Headland,Alabama,United States
0J8,29.618,-82.5087,civil,975,Flying Ten,Archer,Florida,United States
0J9,40.8695,-97.3517,civil,914,Flying V,Utica,Nebraska,United States
0K6,36.179,-95.5811,civil,480,Dobie's,Inola,Oklahoma,United States
0K7,42.7361,-94.2452,civil,1036,Humboldt Mun,Humboldt,Iowa,United States
0KS0,38.6333,-95.9253,civil,792,J V Ranch,Osage City,Kansas,United States
0KS1,39.2167,-95.3372,civil,701,Shomin,Oskaloosa,Kansas,United States
0KS2,38.56,-95.3091,civil,732,Kellie Mann Airfield,Ottawa,Kansas,United States
0KS3,38.5667,-95.3669,civil,610,Camp Chippewa,Ottawa,Kansas,United States
0KS4,38.8083,-95.5989,civil,533,Snoopys,Overbrook,Kansas,United States
0KS6,37.4522,-97.3178,civil,700,Kendrigan,Peck,Kansas,United States
0KS7,37.6928,-97.8864,civil,610,Mono Aircraft,Cheney,Kansas,United States
0KS8,37.3825,-95.3747,civil,518,Pearce Field,Parsons,Kansas,United States
0KS9,37.5159,-96.9198,civil,914,Lmn 120,Douglas,Kansas,United States
0KY1,36.7656,-86.6183,civil,975,Arnemann Farms,Franklin,Kentucky,United States
0KY4,37.5644,-87.0819,civil,511,Cambron Field,Owensboro,Kentucky,United States
0KY5,36.8125,-86.375,civil,853,Falin Landing Strip,Bowling Green,Kentucky,United States
0KY7,36.6361,-88.9986,civil,671,Clinton-Hickman County,Clinton,Kentucky,United States
0KY8,37.1172,-83.7361,civil,701,Sky,Manchester,Kentucky,United States
0L0,34.9617,-116.675,civil,805,Harvard,Yermo,California,United States
0L4,37.4858,-117.191,civil,1966,Lida Junction,Goldfield,Nevada,United States
0L5,37.718,-117.238,civil,960,Goldfield,Goldfield,Nevada,United States
0L7,35.7683,-115.33,civil,2530,Jean,Jean,Nevada,United States
0L8,39.075,-94.5063,civil,818,Heart,Kansas City,Missouri,United States
0L9,36.3111,-114.464,civil,1036,Echo Bay,Overton,Nevada,United States
0LA1,30.2294,-90.9734,civil,914,Double H Ranch,Gonzales,Louisiana,United States
0LA2,30.278,-90.9632,civil,671,Don Babin-Private,Gonzales,Louisiana,United States
0LA3,32.7493,-93.8735,civil,823,Belcher Airpatch,Belcher,Louisiana,United States
0LA9,30.5863,-90.8615,civil,914,Rebel Field,Watson,Louisiana,United States
0LL0,42.2647,-88.73,civil,619,Kaufield,Belvidere,Illinois,United States
0LL1,39.0942,-90.3134,civil,762,Jerseyville Aviation Inc,Jerseyville,Illinois,United States
0LL2,40.7389,-90.3807,civil,792,Murk's Strip,St Augustine,Illinois,United States
0LL3,39.055,-90.3421,civil,610,Koenig,Jerseyville,Illinois,United States
0LL4,41.4192,-89.1231,civil,653,Tri-City,La Salle,Illinois,United States
0LL5,40.11,-88.0784,civil,680,Busboom Rla,St Joseph,Illinois,United States
0LL6,41.6984,-88.6076,civil,792,Gord,Sandwich,Illinois,United States
0LL8,40.8336,-88.3776,civil,610,Immke,Saunemin,Illinois,United States
0LS0,29.7497,-90.7358,civil,914,Theriot Field,Thibodaux,Louisiana,United States
0LS1,30.2239,-92.7786,civil,792,AG Aviation,Welsh,Louisiana,United States
0LS4,30.8087,-92.188,civil,518,Buller's Airstrip,Bunkie,Louisiana,United States
0LS5,30.3069,-92.1298,civil,198,Trahan,Cankton,Louisiana,United States
0LS6,30.7877,-92.0504,civil,762,Dufour,Morrow,Louisiana,United States
0LS7,30.6128,-91.4842,civil,671,Morgan Field,New Roads,Louisiana,United States
0LS8,30.2858,-92.9413,civil,762,Lonesome Dove Airfield,Woodlawn,Louisiana,United States
0LS9,32.5043,-91.9821,civil,466,Huenefeld,Monroe,Louisiana,United States
0M0,33.8845,-91.5343,civil,1527,Free Mun,Dumas,Arkansas,United States
0M1,35.6378,-88.128,civil,1214,Scott,Parsons,Tennessee,United States
0M2,36.4753,-89.3462,civil,1067,Reelfoot Lake,Tiptonville,Tennessee,United States
0M3,35.546,-87.5973,civil,1220,Baker,Hohenwald,Tennessee,United States
0M4,36.0112,-88.1233,civil,1067,Benton Co,Camden,Tennessee,United States
0M5,36.1166,-87.7382,civil,1220,Humphreys Co,Waverly,Tennessee,United States
0M6,34.3668,-89.9001,civil,1524,Panola Co,Batesville,Mississippi,United States
0M8,32.8259,-91.1877,civil,975,Byerley,Lake Providence,Louisiana,United States
0M9,32.4107,-91.4987,civil,914,Delhi Mun,Delhi,Louisiana,United States
0MD1,39.1873,-75.7927,civil,914,Taylor Field,Sudlersville,Maryland,United States
0MD2,38.2879,-76.8675,civil,671,Squier Landing,Cobb Island,Maryland,United States
0MD4,39.2668,-76.1872,civil,792,Pond View Pvt,Chestertown,Maryland,United States
0MD6,39.3812,-77.1058,civil,549,Walters,Mount Airy,Maryland,United States
0MI1,44.1403,-84.4375,civil,1067,Sugar Springs,Gladwin,Michigan,United States
0MI2,44.5222,-83.6833,civil,610,Stier Airstrip,Glennie,Michigan,United States
0MI3,44.6334,-84.4834,civil,2408,Kelleys,Grayling,Michigan,United States
0MI4,46.2702,-87.3865,civil,914,Lesterson Field,Gwinn,Michigan,United States
0MI5,47.122,-88.5639,water,999,Grognet Flying Service,Houghton,Michigan,United States
0MI6,46.3875,-85.184,civil,671,Young's,Hulbert,Michigan,United States
0MI8,44.9,-84.3,civil,823,Twin Lakes,Lewiston,Michigan,United States
0MN0,44.7969,-92.9841,water,999,Winner's Landing,St Paul Park,Minnesota,United States
0MN1,44.2625,-94.0697,civil,610,Brinkman,St Peter,Minnesota,United States
0MN2,46.1333,-93.003,water,999,Grindstone Lake,Sandstone,Minnesota,United States
0MN3,46.6719,-94.2946,water,999,Lower Hay Lake,Jenkins,Minnesota,United States
0MN4,46.4792,-94.323,water,999,Paul's,Nisswa,Minnesota,United States
0MN5,44.3072,-94.9169,civil,853,Pankratz,Springfield,Minnesota,United States
0MN6,43.6622,-92.4043,civil,762,Matson Fld,Spring Valley,Minnesota,United States
0MN8,45.1358,-92.8594,civil,503,Keller,Stillwater,Minnesota,United States
0MO0,38.4103,-93.8502,civil,514,Ferros Ranch-Aero,Clinton,Missouri,United States
0MO1,38.5445,-94.0947,civil,640,Flying G,Creighton,Missouri,United States
0MO2,37.7867,-90.7801,civil,366,Short-N-Ruff,Caledonia,Missouri,United States
0MO3,38.4403,-94.5933,civil,549,Arvin Ranch,Drexel,Missouri,United States
0MO5,40.1334,-92.1002,civil,549,Joe D Lewis,Edina,Missouri,United States
0MO6,40.1167,-92.2669,civil,549,Hall,Edina,Missouri,United States
0MO8,39.1406,-90.7368,civil,792,Sloan's,Elsberry,Missouri,United States
0MS0,32.475,-88.6167,civil,975,Topton Air Estates,Meridian,Mississippi,United States
0MS1,31.4252,-90.9029,civil,701,Franklin Field,Meadville,Mississippi,United States
0MS2,31.5418,-89.3917,civil,701,Morgan Field,Seminary,Mississippi,United States
0MS5,33.3918,-90.9168,civil,823,Lewis Air Service,Leland,Mississippi,United States
0MS7,34.3426,-89.1431,civil,640,Hale Field,Pontotoc,Mississippi,United States
0MS8,33.6993,-91.1651,civil,1219,Catfish Point,Benoit,Mississippi,United States
0MS9,33.8007,-89.0273,civil,975,Shenandoah Valley Farms,Houston,Mississippi,United States
0MT0,46.7271,-113.658,civil,1242,Elliott Field,Clinton,Montana,United States
0MT1,47.4975,-112.391,civil,457,Williams Field,Augusta,Montana,United States
0MT4,46.2786,-114.141,civil,305,Kimp,Hamilton,Montana,United States
0MT5,45.6342,-108.849,civil,229,Cottonwood,Laurel,Montana,United States
0MT6,48.0406,-114.679,civil,732,Hanson,Marion,Montana,United States
0MT7,47.6608,-115.404,civil,1158,Pinehurst Ranch,Thompson Falls,Montana,United States
0MT9,48.4833,-114.493,civil,518,Lone Hawk,White Fish,Montana,United States
0MU0,37.2347,-91.0936,civil,930,Eagle Field,Ellington,Missouri,United States
0MU1,37.2467,-94.1739,civil,610,Sunderland,Avilla,Missouri,United States
0MU4,39.6161,-92.8669,civil,518,Slaughter,Marceline,Missouri,United States
0MU7,38.875,-94.1397,civil,792,Lambs Field,Lone Jack,Missouri,United States
0MU8,37.4387,-89.759,civil,244,Prince,Millersville,Missouri,United States
0N0,39.2911,-94.4422,civil,847,Roosterville,Liberty,Missouri,United States
0N4,39.2023,-75.4855,civil,772,Chandelle Estates,Dover,Delaware,United States
0N6,39.0126,-75.5335,civil,624,Henderson Aviation,Felton,Delaware,United States
0NA1,46.2455,-97.0376,civil,610,Goerger,Barney,North Dakota,United States
0NA2,46.7658,-96.9287,civil,488,Bensen Airstrip,Horace,North Dakota,United States
0NA3,46.9025,-97.0983,civil,792,Kasowski,Mapleton,North Dakota,United States
0NA4,46.8055,-97.9051,civil,838,Kreidelcamp,Valley City,North Dakota,United States
0NA5,48.0011,-99.5629,civil,671,Sorlie,Maddock,North Dakota,United States
0NA8,47.8747,-101.146,civil,792,Scheresky Airstrip,Benedict,North Dakota,United States
0NA9,46.75,-103.801,civil,671,Boyd's Turf,Golva,North Dakota,United States
0NC1,35.4571,-82.3754,civil,445,Bearwallow Farm,Hendersonville,North Carolina,United States
0NC8,35.7557,-80.7353,civil,701,Double Creek Ranch,Cleveland,North Carolina,United States
0ND0,47.9292,-99.4004,civil,792,Gilbertson Field,Flora,North Dakota,United States
0ND2,47.1722,-96.8406,civil,579,Swenson,Gardner,North Dakota,United States
0ND6,46.055,-99.9171,civil,488,Schumacher Strip,Hague,North Dakota,United States
0ND7,46.4653,-100.105,civil,792,Saville Pvt,Hazelton,North Dakota,United States
0NE0,41.85,-101.95,civil,1250,Merrihew,Ashby,Nebraska,United States
0NE1,42.4072,-101.932,civil,762,Runner Landing Area,Ashby,Nebraska,United States
0NE2,41.8666,-101.917,civil,1219,Merry,Ashby,Nebraska,United States
0NE5,41.0211,-102.018,civil,884,Newman,Big Springs,Nebraska,United States
0NE6,40.4333,-98.0706,civil,1128,Frager Field,Fairfield,Nebraska,United States
0NJ5,40.8859,-74.7057,civil,640,Fla-Net,Netcong,New Jersey,United States
0NJ6,39.3168,-74.6329,civil,899,Dix Field,Linwood,New Jersey,United States
0NK0,42.334,-78.7909,civil,427,Berdick Field,Cattaraugus,New York,United States
0NK1,43.3617,-76.2202,civil,640,Spring Brook,Central Square,New York,United States
0NK2,42.9834,-74.0162,civil,914,Westwind Farm,Charlton,New York,United States
0NK3,42.6959,-77.7922,civil,823,Seven Gullies,Groveland,New York,United States
0NK6,42.4384,-76.0888,civil,808,Lapeer Flyer,Marathon,New York,United States
0NK8,41.9209,-73.6704,civil,762,Rocky Reef Farm,Attlebury,New York,United States
0NK9,43.0103,-75.8269,civil,518,Lakeview,Chittenango,New York,United States
0NM0,31.8237,-107.627,civil,1283,Columbus Muni,Columbus,New Mexico,United States
0NM2,32.5001,-106.687,civil,1524,Waids Airpark,Organ,New Mexico,United States
0NM7,33.5209,-108.543,civil,3505,Negrito Airstrip,Reserve,New Mexico,United States
0NY0,43.7001,-73.9829,civil,914,Bennetts,North Creek,New York,United States
0NY1,43.1392,-73.6532,civil,415,Russell Fld,Northumberland,New York,United States
0NY2,43.3417,-75.3579,civil,762,Flying Acres,North Western,New York,United States
0NY3,43.314,-74.9321,civil,488,Kermizian,Ohio,New York,United States
0NY4,42.9576,-78.5514,civil,549,Alan Dipaolo Field,Buffalo,New York,United States
0NY7,43.0376,-74.1843,civil,610,Murphys Lndg Strip,Perth,New York,United States
0NY8,42.9973,-74.2454,civil,518,Wenskoski Field,Perth,New York,United States
0O0,37.0583,-121.126,water,999,San Luis Reservoir,Los Banos,California,United States
0O2,35.2855,-116.083,civil,962,Baker,Baker,California,United States
0O4,39.9438,-122.171,civil,823,Corning Mun,Corning,California,United States
0O5,38.5315,-121.786,civil,970,University,Davis,California,United States
0O9,41.8457,-123.985,civil,911,Ward,Gasquet,California,United States
0OH2,39.9706,-83.9116,civil,722,Jenkins Field,North Hampton,Ohio,United States
0OH4,40.347,-82.7777,civil,549,Zurik Stol,Marengo,Ohio,United States
0OH5,39.4431,-84.043,civil,998,Hagemeyer,Oregonia,Ohio,United States
0OH6,39.6006,-84.0197,civil,244,Fry Field,Spring Valley,Ohio,United States
0OH7,40.1433,-84.1719,civil,1067,Apple,Piqua,Ohio,United States
0OH8,40.1884,-84.2561,civil,914,Fry,Piqua,Ohio,United States
0OH9,40.0717,-83.2299,civil,335,Parknavy,Plain City,Ohio,United States
0OI2,39.3598,-83.4177,civil,671,Unger Field,Greenfield,Ohio,United States
0OI3,41.3821,-82.7161,civil,579,Galloway,Sandusky,Ohio,United States
0OI4,41.3237,-81.1634,civil,610,Salt Box,Hiram,Ohio,United States
0OI6,41.8381,-80.6437,civil,792,Victor's Landing,Kingsville,Ohio,United States
0OI9,38.8945,-83.1135,civil,335,Hidden Quarry,Lucasville,Ohio,United States
0OK0,35.6834,-97.4336,civil,732,Edmond,Edmond,Oklahoma,United States
0OK1,34.657,-97.4017,civil,975,Mckey,Elmore City,Oklahoma,United States
0OK3,35.6195,-98.5226,civil,1524,Groendyke Ranch /Pvt/,Geary,Oklahoma,United States
0OK4,34.6606,-96.2536,civil,716,Rock Creek Farm,Coal Gate,Oklahoma,United States
0OK5,35.8889,-97.4003,civil,610,Chappell,Guthrie,Oklahoma,United States
0OK6,35.8017,-97.3861,civil,732,Ellis/Harvey,Guthrie,Oklahoma,United States
0OK8,36.2925,-97.5931,civil,762,Cade's,Covington,Oklahoma,United States
0OK9,36.2134,-96.637,civil,1707,Crystal,Jennings,Oklahoma,United States
0OR1,44.5024,-119.372,civil,503,Wileycreek,Dayville,Oregon,United States
0OR3,42.019,-121.704,civil,594,Long Ranch,Merrill,Oregon,United States
0OR5,42.5035,-122.855,civil,518,East Oregon Cattle Co,Eagle Point,Oregon,United States
0OR6,42.834,-117.629,civil,884,Rome Service Airport,Rome,Oregon,United States
0OR7,44.854,-123.264,civil,579,Marr Field,Monmouth,Oregon,United States
0OR8,42.4848,-122.866,civil,762,Sutton On Rogue,White City,Oregon,United States
0OR9,45.5926,-121.549,civil,579,Hanel Field,Mount Hood,Oregon,United States
0P1,39.8322,-99.5687,civil,789,Van-Pak,Prairie View,Kansas,United States
0P2,39.7948,-76.6472,civil,610,Shoestring Aviation Airfield,Stewartstown,Pennsylvania,United States
0PA0,40.3284,-75.2413,civil,2042,Philadelphia,Hilltown,Pennsylvania,United States
0PA2,40.3168,-77.1247,civil,152,Haunstein,Shermansdale,Pennsylvania,United States
0PA3,41.7495,-76.7602,civil,389,Robbins Farm,Troy,Pennsylvania,United States
0PA4,40.2376,-76.7247,civil,462,Ecko Field,Hummelstown,Pennsylvania,United States
0PA5,41.4945,-79.8309,civil,1564,Fisher,Franklin,Pennsylvania,United States
0PA6,40.6309,-77.8503,civil,549,Hostetler,Huntingdon,Pennsylvania,United States
0PA7,39.8848,-75.4149,civil,366,Linvill,Media,Pennsylvania,United States
0PN0,41.4389,-80.1665,civil,610,Fletcher,Sheakeyville,Pennsylvania,United States
0PN1,40.6994,-79.6189,water,999,Pete's Water Landing,Freeport,Pennsylvania,United States
0PN2,41.0731,-80.0703,civil,655,Flying Acres,Slippery Rock,Pennsylvania,United States
0PN4,40.4129,-77.2414,civil,152,New Bloomfield,New Bloomfield,Pennsylvania,United States
0PN5,41.7792,-79.5984,civil,732,Nichols,Spartansburg,Pennsylvania,United States
0PN6,40.169,-77.9925,civil,527,Memmi,Three Springs,Pennsylvania,United States
0PN7,40.1283,-77.6314,civil,853,Drillmore Acres,Newburg,Pennsylvania,United States
0PN8,41.6167,-79.6831,civil,610,Shriver,Titusville,Pennsylvania,United States
0PN9,41.7195,-79.6778,civil,549,Paul Personal Use,Titusville,Pennsylvania,United States
0PS0,41.3709,-79.3417,civil,671,Frederick Airpark,Tylersburg,Pennsylvania,United States
0PS3,40.4904,-76.7666,civil,388,Carsonville,Carsonville,Pennsylvania,United States
0PS4,41.0084,-78.5609,civil,732,Old Orchard,Curwensville,Pennsylvania,United States
0PS7,40.5223,-76.8455,civil,579,Harman,Elizabethville,Pennsylvania,United States
0Q3,38.2235,-122.45,civil,1280,Sonoma Valley,Schellville-Sonoma,California,United States
0Q4,36.5816,-119.658,civil,759,Selma,Selma,California,United States
0Q5,40.0276,-124.073,civil,1036,Shelter Cove,Shelter Cove,California,United States
0Q6,40.5221,-121.818,civil,713,Shingletown,Shingletown,California,United States
0Q8,37.5235,-120.398,civil,1250,Bonanza Hills,Snelling,California,United States
0Q9,38.2577,-122.434,civil,756,Sonoma Skypark,Sonoma,California,United States
0R0,31.297,-89.8128,civil,2103,Columbia-Marion Co,Columbia,Mississippi,United States
0R1,31.0162,-87.4468,civil,1509,Atmore Mun,Atmore,Alabama,United States
0R2,38.4039,-93.333,civil,893,Lincoln Mun,Lincoln,Missouri,United States
0R3,29.9758,-92.0842,civil,1527,Abbeville Crusta Meml,Abbeville,Louisiana,United States
0R4,31.5668,-91.5001,civil,1128,Concordia Parish,Vidalia,Louisiana,United States
0R5,31.9637,-92.6603,civil,914,Joyce,Winnfield,Louisiana,United States
0R6,33.5251,-92.4585,civil,1341,Hampton Mun,Hampton,Arkansas,United States
0R7,31.9907,-93.3074,civil,1534,The Red River,Coushatta,Louisiana,United States
0R9,39.1945,-99.3034,civil,792,Plainville,Plainville,Kansas,United States
0S0,46.9776,-118.586,civil,975,Lind,Lind,Washington,United States
0S1,47.8458,-113.409,civil,863,Meadow Creek USFS,Meadow Creek,Montana,United States
0S2,39.3772,-99.2951,civil,1067,Stockton Mun,Stockton,Kansas,United States
0S5,46.2374,-116.243,civil,732,Nez Perce Mun,Nez Perce,Idaho,United States
0S7,48.959,-119.412,civil,1222,Scott,Oroville,Washington,United States
0S9,48.0548,-122.81,civil,914,Jefferson Co Intl,Port Townsend,Washington,United States
0SD0,45.425,-100.892,civil,914,Lenling,Glencross,South Dakota,United States
0SD1,42.9722,-96.9802,civil,526,Lodi,Wakonda,South Dakota,United States
0SD3,45.2694,-103.217,civil,1128,Bledsoe Ranch,Hoover,South Dakota,United States
0SD6,44.2889,-101.826,civil,762,Oasis Ranch,Philip,South Dakota,United States
0SD7,43.5244,-101.734,civil,610,Porch Ranch,Wanblee,South Dakota,United States
0SD8,43.7828,-100.293,civil,884,Juhnke,Vivian,South Dakota,United States
0T3,37.3139,-89.9973,civil,792,Twin City,Marble Hill,Missouri,United States
0T7,33.1262,-96.6836,civil,640,Kittyhawk,Allen,Texas,United States
0TA1,34.2195,-101.98,civil,610,Buddy Harmel,Halfway,Texas,United States
0TA2,34.2167,-101.925,civil,1920,Smith Farms,Halfway,Texas,United States
0TA3,30.3043,-102.138,civil,1219,Tate Ranch,Dryden,Texas,United States
0TA4,32.4979,-96.2705,civil,531,Erco Field,Kaufman,Texas,United States
0TA7,30.1482,-103.893,civil,4663,Alta Vista Ranch,Marfa,Texas,United States
0TA8,33.8487,-95.4072,civil,817,Womack Plantation,Paris,Texas,United States
0TE0,29.693,-101.162,civil,1798,Robertson Ranch,Comstock,Texas,United States
0TE3,33.9292,-100.842,civil,1762,Buzz Field,Roaring Springs,Texas,United States
0TE4,31.081,-96.2152,civil,914,Hilltop Lakes,Hilltop Lakes,Texas,United States
0TE5,27.4338,-99.1859,civil,1826,Santa Maria Ranch,Laredo,Texas,United States
0TE6,32.2043,-98.6656,civil,785,Gorman,Gorman,Texas,United States
0TE7,30.2518,-98.6225,civil,1918,Johnson City,Junction,Texas,United States
0TN0,35.6767,-86.8967,civil,533,R & S Buzzard,Spring Hill,Tennessee,United States
0TN1,35.2223,-86.22,water,6001,Tims Ford,Tullahoma,Tennessee,United States
0TN2,35.6559,-84.1855,civil,366,Village,Greenback,Tennessee,United States
0TN5,35.8674,-86.4978,civil,716,McDonald,Murfreesboro,Tennessee,United States
0TN6,36.1834,-84.0991,civil,320,Riner Farm,Norris,Tennessee,United States
0TS0,33.0229,-97.1225,civil,640,Flower Mound,Flower Mound,Texas,United States
0TS1,33.0987,-97.2725,civil,533,Dooley,Justin,Texas,United States
0TS2,32.9487,-97.3289,civil,549,Ultralight International,Haslet,Texas,United States
0TS4,30.0919,-96.795,civil,549,Ullrich,Ledbetter,Texas,United States
0TS5,30.4419,-95.1863,civil,975,Lake Bay Gall,Cleveland,Texas,United States
0TS7,32.8335,-98.1253,civil,853,Flying U,Mineral Wells,Texas,United States
0TS8,26.1504,-97.8836,civil,277,Flying 'k' Ranch,Mercedes,Texas,United States
0TS9,30.0155,-97.7372,civil,384,Jim Roach Field,Ozona,Texas,United States
0TX0,32.4196,-97.7128,civil,853,Nassau Bay,Granbury,Texas,United States
0TX1,32.354,-97.6764,civil,1067,Pecan Plantation,Granbury,Texas,United States
0TX5,33.024,-97.1197,civil,549,Shiloh,Flower Mound,Texas,United States
0TX6,29.5052,-97.9969,civil,671,Elm Creek Airpark,Smiley,Texas,United States
0TX7,32.9501,-97.1503,civil,686,Lazy K Acres,Grapevine,Texas,United States
0TX8,33.1804,-96.0433,civil,549,Jacobia Field,Greenville,Texas,United States
0TX9,33.2501,-96.1169,civil,1311,Card Aerodrome,Greenville,Texas,United States
0U0,44.6424,-115.533,civil,1219,Landmark USFS,Landmark,Idaho,United States
0U1,44.1421,-115.314,civil,869,Warm Springs Creek,Lowman,Idaho,United States
0U2,43.8018,-113.831,civil,1433,Copper Basin,Mackay,Idaho,United States
0U3,44.7446,-114.921,civil,655,Mahoney Creek USFS,Mahoney Creek,Idaho,United States
0U7,43.3249,-113.588,civil,762,Hollow Top,Martin,Idaho,United States
0U8,44.6102,-113.896,civil,1509,May,May,Idaho,United States
0U9,44.4616,-116.758,civil,991,Williams Meml,Midvale,Idaho,United States
0V2,38.5392,-106.046,civil,2240,Alexander,Salida,Colorado,United States
