icao,lat,lon,type,size,name,city,state,country
05D,47.967,-102.478,civil,914,New Town Mun,New Town,North Dakota,United States
05F,31.4213,-97.797,civil,1036,City-Co,Gatesville,Texas,United States
05FL,26.5231,-81.4083,civil,1463,Charlton Strip,La Belle,Florida,United States
05IA,43.1375,-93.0683,civil,747,Spotts Field,Nora Springs,Iowa,United States
05ID,45.9141,-114.836,civil,610,Running Creek Ranch,Grangeville,Idaho,United States
05II,41.0287,-84.9972,civil,549,Reichhart,New Haven,Indiana,United States
05IL,41.1567,-88.0167,civil,792,Classic Landings,Bonfield,Illinois,United States
05IN,39.642,-86.5042,civil,610,Cooper,Belleville,Indiana,United States
05IS,39.7259,-89.264,civil,610,Hardy,Mount Auburn,Illinois,United States
05KS,37.2662,-95.9592,civil,716,Darbro Field,Elk City,Kansas,United States
05KY,37.6454,-84.283,civil,732,Berea-Richmond,Berea,Kentucky,United States
05LA,32.2653,-91.6978,civil,671,Greg's Flying Service,Baskin,Louisiana,United States
05MD,39.2501,-76.2052,civil,823,Breezecroft,Chestertown,Maryland,United States
05MN,44.6344,-93.0724,civil,805,Sowieja,Farmington,Minnesota,United States
05MT,45.3541,-111.735,civil,1118,Sportsmans Field,Ennis,Montana,United States
05ND,47.2078,-97.4712,civil,518,Klessig Strip,Galesburg,North Dakota,United States
05NE,41.7222,-98.309,civil,978,McKay,Spalding,Nebraska,United States
05OI,41.2884,-81.9626,civil,610,Dorlon Airpark,Columbia Station,Ohio,United States
05OK,35.8534,-97.5675,civil,671,Hawk Haven,Crescent,Oklahoma,United States
05OR,45.4415,-117.351,civil,792,Peacock Ranch,Enterprise,Oregon,United States
05Q,38.2638,-120.923,civil,686,Camanche Skypark,Ione,California,United States
05S,45.8515,-123.242,civil,896,Vernonia,Vernonia,Oregon,United States
05TA,29.8091,-96.2651,civil,518,Brandes Air Field,Sealy,Texas,United States
05TE,30.7221,-97.7914,civil,457,Hilde-Griff Field,Geronimo,Texas,United States
05TN,35.557,-89.5529,civil,1219,Thurmond Glenn Fld,Covington,Tennessee,United States
05TS,33.1293,-97.3586,civil,518,Dew Drop,Justin,Texas,United States
05TX,32.1292,-97.4042,civil,632,Circle 'a' Ranch,Blum,Texas,United States
05U,39.6042,-116.005,civil,2225,Eureka,Eureka,Nevada,United States
05UT,37.0333,-110.317,civil,1204,Oljato,Oljato,Utah,United States
05V,37.4111,-105.552,civil,1875,Blanca,Blanca,Colorado,United States
05VA,37.2242,-78.4186,civil,610,Providence,Farmville,Virginia,United States
05W,35.5816,-76.5155,civil,534,Riverside Campground,Belhaven,North Carolina,United States
05WI,42.6511,-88.7459,civil,549,Ames Private,Darien,Wisconsin,United States
05XS,33.0793,-91.5432,civil,792,Johnson Memorial,Wilmot,Arkansas,United States
05Y,46.3038,-95.4395,civil,1000,Henning Mun,Henning,Minnesota,United States
06A,32.4605,-85.68,civil,1525,Moton Mun,Tuskegee,Alabama,United States
06AR,35.5445,-92.1849,civil,884,Bondair,Higden,Arkansas,United States
06AZ,35.7917,-110.423,civil,1280,Polacca,Polacca,Arizona,United States
06B,44.907,-68.805,water,999,Lucky Landing Marina And Spb,Bangor,Maine,United States
06C,41.9893,-88.1012,civil,1158,Schaumburg Regl,Chicago/Schaumburg,Illinois,United States
06D,48.8843,-99.6209,civil,2041,Rolla Mun,Rolla,North Dakota,United States
06FA,26.9084,-80.3289,civil,2135,William P Gwinn,Jupiter,Florida,United States
06I,38.4334,-86.6911,water,3499,Patoka Reservoir Landing Area,French Lick,Indiana,United States
06IA,41.8414,-91.8343,civil,533,Rich Field,Walford,Iowa,United States
06ID,43.4627,-116.359,civil,671,Larkin,Kuna,Idaho,United States
06II,40.0231,-86.0375,civil,792,Bill Shank,Noblesville,Indiana,United States
06IL,41.5995,-88.8699,civil,786,Humm,Earlville,Illinois,United States
06IN,39.2828,-87.3036,civil,488,Ellis Fly-In,Blackhawk,Indiana,United States
06IS,40.5464,-91.2743,civil,792,Sinele Strip,Nauvoo,Illinois,United States
06M,33.5346,-89.3126,civil,914,Eupora,Eupora,Mississippi,United States
06MN,47.6519,-92.4167,civil,457,Pike Field,Virginia,Minnesota,United States
06MO,39.2306,-94.8044,civil,914,Noahs Ark,Waldron,Missouri,United States
06MT,48.5583,-112.109,civil,671,Torgerson,Ethridge,Montana,United States
06N,41.4316,-74.3919,civil,1400,Randall,Middletown,New York,United States
06NC,34.8275,-78.9303,civil,792,Tailwinds,St. Pauls,North Carolina,United States
06ND,46.7489,-101.669,civil,853,Fitterer's Strip,Glen Ullin,North Dakota,United States
06NH,42.9284,-70.9731,civil,579,Cole Farm,Kensington,New Hampshire,United States
06NY,42.8428,-76.4453,civil,610,Murphy Field,Auburn,New York,United States
06OH,41.5098,-80.5912,civil,732,Hal Joy Airfield,Williamsfield,Ohio,United States
06OI,39.7348,-84.3822,civil,688,Green Acres,New Lebanon,Ohio,United States
06OR,45.4651,-123.08,civil,305,Hayden Mountain,Forest Grove,Oregon,United States
06PA,42.0084,-78.2581,civil,523,Ceres,Ceres,Pennsylvania,United States
06R,29.9419,-96.2461,civil,1213,Grawunder,Bellville,Texas,United States
06SN,37.5839,-97.2531,civil,732,Beyer Farm,Derby,Kansas,United States
06TA,30.9085,-97.1169,civil,579,Glaser Field,Buckholts,Texas,United States
06TE,30.3127,-95.0269,civil,1067,Ainsworth,Cleveland,Texas,United States
06TN,35.6973,-86.9569,civil,610,Hunter,Columbia,Tennessee,United States
06TS,32.1207,-96.1791,civil,1036,Roscoe McConnico,Kerens,Texas,United States
06TX,30.0576,-95.8129,civil,512,Diamond N Ranch,Hockley,Texas,United States
06U,41.976,-114.658,civil,1890,Jackpot/Hayden,Jackpot,Nevada,United States
06VA,38.249,-78.8553,civil,610,Mount Horeb Field,Grottoes,Virginia,United States
06VT,43.1338,-73.0774,civil,640,Meadowlands,Manchester,Vermont,United States
06WI,45.6627,-92.4502,civil,457,Young Private,Wausaukee,Wisconsin,United States
06Y,45.83,-96.1606,civil,913,Herman Mun,Herman,Minnesota,United States
07A,32.1696,-85.8097,civil,1116,Franklin,Union Springs,Alabama,United States
07AR,35.1945,-92.8002,civil,914,Morrilton,Morrilton,Arkansas,United States
07B,44.4404,-68.5661,civil,975,Blue Hill,Blue Hill,Maine,United States
07C,41.3072,-85.0643,civil,1522,De Kalb Co,Auburn,Indiana,United States
07CL,39.4977,-121.771,civil,677,Richvale,Richvale,California,United States
07D,43.0634,-82.7249,civil,671,Tackaberry,Avoca,Michigan,United States
07F,32.5288,-94.9717,civil,1709,Gladewater Mun,Gladewater,Texas,United States
07FA,25.3254,-80.2748,civil,1372,Ocean Reef Club,Key Largo,Florida,United States
07FD,30.418,-83.2838,civil,607,Flying G Ranch,Lee,Florida,United States
07GA,33.675,-83.7631,civil,518,Alcovy,Covington,Georgia,United States
07I,39.0586,-86.4461,water,999,Lake Monroe,Bloomington,Indiana,United States
07IA,42.8333,-94.8669,civil,728,Laurens Skyways,Laurens,Iowa,United States
07ID,42.2782,-113.305,civil,914,Interstate,Malta,Idaho,United States
07IN,39.5737,-85.9139,civil,567,Gray,Boggstown,Indiana,United States
07K,41.1167,-98.0503,civil,884,Central City Mun,Central City,Nebraska,United States
07KS,37.7342,-96.9367,civil,610,Heape Field,Augusta,Kansas,United States
07KY,38.0806,-85.6933,civil,610,Blue Lick,Louisville,Kentucky,United States
07L,42.0751,-72.5912,water,999,Agawam-Springfield Seaplane Harbor,Agawam,Massachusetts,United States
07MD,39.6083,-77.0519,civil,305,Baugher's Orchard,Westminster,Maryland,United States
07MI,43.8642,-85.0239,civil,885,Scott Airstrip,Lake,Michigan,United States
07MN,44.055,-95.9095,civil,792,Dairyview,Hadley,Minnesota,United States
07MO,38.65,-93.6169,civil,823,Lake Sexton,Warrensburg,Missouri,United States
07MT,48.4211,-106.528,civil,4115,Glasgow Industrial,Glasgow,Montana,United States
07N,40.0168,-77.0039,civil,671,Bermudian Valley,Kralltown,Pennsylvania,United States
07NC,34.8332,-80.7512,civil,610,Hawks Meadow,Waxhaw,North Carolina,United States
07ND,47.1561,-102.064,civil,482,Backfisch Strip,Golden Valley,North Dakota,United States
07OK,34.6334,-99.0337,civil,732,Pleasant Valley,Snyder,Oklahoma,United States
07OR,45.4218,-122.62,civil,366,Bruce's,Milwaukie,Oregon,United States
07PA,40.7584,-75.533,civil,610,Dieters,Cherryville,Pennsylvania,United States
07R,27.6103,-97.7519,civil,975,Bishop Mun,Bishop,Texas,United States
07TA,29.2405,-95.3447,civil,671,Salaika Aviation,Danbury,Texas,United States
07TE,27.7211,-97.5128,civil,1524,Cuddihy Field,Corpus Christi,Texas,United States
07TN,35.5686,-84.2411,civil,549,Corntassel,Vonore,Tennessee,United States
07TS,30.625,-97.5728,civil,762,Cross-Country Estates,Geronimo,Texas,United States
07V,37.5238,-105.009,civil,1765,Cuchara Valley Apt At La Veta,La Veta,Colorado,United States
07VA,36.8196,-78.7831,civil,488,Alpha Hotel,Clover,Virginia,United States
07WI,42.9653,-88.3915,civil,457,Bartell Strip,Genessee Depot,Wisconsin,United States
07Y,46.9555,-93.5969,civil,884,Hill City-Quadna Mtn,Hill City,Minnesota,United States
08A,32.5294,-86.3282,civil,1709,Wetumpka Mun,Wetumpka,Alabama,United States
08AR,34.5807,-91.9682,civil,579,Capps,England,Arkansas,United States
08B,44.0001,-69.887,civil,594,Merrymeeting,Bowdoinham,Maine,United States
08C,42.9359,-85.805,civil,1195,Riverview,Jenison,Michigan,United States
08CL,37.8596,-120.554,civil,610,Kistler Ranch,Jamestown,California,United States
08CT,41.896,-73.0931,water,999,Seavair's Landing,Winsted,Connecticut,United States
08D,48.3008,-102.406,civil,1187,Stanley Mun,Stanley,North Dakota,United States
08F,34.5318,-96.2331,civil,616,City Of Coalgate,Coalgate,Oklahoma,United States
08FA,26.5798,-81.4837,civil,1033,Duda Airstrip,La Belle,Florida,United States
08FD,27.3631,-80.7728,civil,1261,Sunniland Ranch,Okeechobee,Florida,United States
08FL,27.0845,-81.3287,civil,762,J. H. Hendrie Farms,Lake Placid,Florida,United States
08GA,31.4258,-81.2859,civil,1524,Sapelo Island,Darien,Georgia,United States
08IA,41.4105,-92.8816,civil,1341,Vermeer,Pella,Iowa,United States
08ID,43.5693,-116.777,civil,762,Symms,Marsing,Idaho,United States
08IL,41.577,-89.794,civil,671,Harms Airstrip,Tampico,Illinois,United States
08IS,37.9778,-89.2029,civil,402,Hemmer Rla,Du Quoin,Illinois,United States
08K,40.6514,-98.0798,civil,2209,Harvard State,Harvard,Nebraska,United States
08KS,39.0347,-97.58,civil,823,Alderson,Bennington,Kansas,United States
08KY,36.9726,-84.6261,civil,762,Boss,Burnside,Kentucky,United States
08LL,41.0753,-88.4892,civil,668,Sauer,Dwight,Illinois,United States
08M,32.7612,-89.5301,civil,914,Carthage-Leake Co,Carthage,Mississippi,United States
08MA,42.294,-71.4962,civil,305,Wormid,Southborough,Massachusetts,United States
08MN,47.6694,-93.0544,water,999,Christenson Point,Chisholm/Hibbing,Minnesota,United States
08MO,37.3956,-94.2838,civil,1457,Twin Oaks,Jasper,Missouri,United States
08MT,47.0639,-108.817,civil,792,Clark,Grassrange,Montana,United States
08N,40.2918,-76.3288,civil,823,Keller Brothers,Lebanon,Pennsylvania,United States
08NC,36.0676,-80.4656,civil,975,Heathwood Farm,Lewisville,North Carolina,United States
08ND,47.3231,-102.098,civil,396,Brecht Strip,Golden Valley,North Dakota,United States
08NE,42.4317,-97.0795,civil,914,Laurel Municipal,Laurel,Nebraska,United States
08NY,41.3681,-74.5056,civil,320,Md1,Middletown,New York,United States
08OH,41.2917,-80.5637,civil,914,Kenley,Hartford,Ohio,United States
08OK,34.9315,-95.2583,civil,549,Parks,Wilburton,Oklahoma,United States
08OR,42.8393,-121.117,civil,853,Saxon Sycan,Silver Lake,Oregon,United States
08R,41.489,-71.6203,civil,649,Richmond,West Kingston,Rhode Island,United States
08TE,29.976,-98.7436,civil,945,B. J. McCombs Sisterdale,Comfort,Texas,United States
08TS,26.8878,-98.5072,civil,1036,Puesta Del Sol,La Gloria,Texas,United States
08TX,32.8582,-97.7475,civil,1189,Cross Wind,Weatherford,Texas,United States
08U,41.5157,-115.86,civil,1097,Stevens Crosby,North Fork,Nevada,United States
08VA,37.554,-79.7498,civil,457,Springwood Airstrip,Buchanan,Virginia,United States
08WI,43.0436,-90.3551,civil,549,Pierick,Highland,Wisconsin,United States
09A,32.1193,-88.1275,civil,1243,Butler-Choctaw Co,Butler,Alabama,United States
09AZ,31.9253,-110.038,civil,716,Stronghold,St David,Arizona,United States
09C,42.1625,-85.5458,civil,2336,Austin Lake,Kalamazoo,Michigan,United States
09CL,39.1138,-121.057,civil,914,Alta Sierra,Grass Valley,California,United States
09CO,38.0556,-103.653,civil,991,Cottonwood Field,Swink,Colorado,United States
09FA,27.2456,-81.4131,civil,1463,Placid Lakes,Lake Placid,Florida,United States
09FD,28.6711,-82.0873,civil,807,Cheryl-Lane Landings,Bushnell,Florida,United States
09FL,30.9022,-87.1765,civil,755,R V Jordan,Jay,Florida,United States
09GA,31.1113,-83.6841,civil,732,Sunbelt Strip,Moultrie,Georgia,United States
09I,48.6135,-93.361,water,999,International Falls,International Falls,Minnesota,United States
09IA,41.7458,-92.4093,civil,823,Skydive Iowa,Brooklyn,Iowa,United States
09ID,45.1041,-114.855,civil,701,Taylor Ranch Landing Area,Moscow,Idaho,United States
09II,38.4473,-86.445,civil,488,Gibbons Field,Valeene,Indiana,United States
09IN,41.1209,-85.425,civil,1341,Gordon,Columbia City,Indiana,United States
09J,31.0745,-81.4278,civil,1134,Jekyll Island,Jekyll Island,Georgia,United States
09K,41.637,-99.3404,civil,914,Sargent Mun,Sargent,Nebraska,United States
09KS,38.707,-95.1383,civil,762,Coffman,Wellsville,Kansas,United States
09LL,42.4681,-88.7432,civil,701,Pine Hill,Capron,Illinois,United States
09M,33.9915,-90.0781,civil,914,Charleston Mun,Charleston,Mississippi,United States
09MA,42.3043,-71.5059,civil,1128,Kallander Field,Southborough,Massachusetts,United States
09MN,44.78,-95.6636,civil,817,W Johnson Field,Hazel Run,Minnesota,United States
09MO,37.3784,-93.3633,civil,402,Hogue Farm,Willard,Missouri,United States
09MT,46.8333,-108.917,civil,1676,N Bar Ranch,Grassrange,Montana,United States
09N,41.8326,-73.876,civil,532,Airhaven,Staatsburg,New York,United States
09NC,35.3293,-79.03,civil,732,William Irving Lewis,Broadway,North Carolina,United States
09NE,41.3333,-96.1936,civil,762,Summer Hill Farm,Bennington,Nebraska,United States
09OH,40.3498,-80.9051,civil,610,Pine Acres,Hopedale,Ohio,United States
